No.,Title,Author,Collection,Year,Contributors,"Degree name","Degree Discipline",Faculty/College
1,"การสื่อสารของผู้ปกครองเพื่อกำกับดูแลพฤติกรรมการเล่นเกมออนไลน์ตามมุมมองของบุตรหลานวัยรุ่นกับพฤติกรรมการเล่นเกมออนไลน์ของบุตรหลานวัยรุ่นในกรุงเทพมหานคร: รายงานวิจัย","นฤมล ปิ่นโต, Naruemon Pinto","Thammasat University Research",2021,-,-,-,-
2,"แนวทางการบรรยายข้อความชื่อในรายการสารคดีสำหรับการผลิตเสียงบรรยายภาพ: รายงานวิจัย","ศิริมิตร ประพันธ์ธุรกิจ","Thammasat University Research",2021,-,-,-,-
3,"แนวทางการสื่อสารออนไลน์ของผู้ทรงอิทธิพลบนสื่อสังคมออนไลน์: รายงานวิจัย","อัญรินทร์ อมรอิสริยาชัย","Thammasat University Research",2021,-,-,-,-
4,"การศึกษาเปรียบเทียบระบบเสียงภาษาไทเขินที่เชียงตุง สาธารณรัฐแห่งสหภาพเมียนมากับภาษาไทเขินที่จังหวัดเชียงใหม่ ประเทศไทย: รายงานวิจัย","อรพัช บวรรักษา, วิราพร หงษ์เวียงจันทร์, เนมิ อุนากรสวัสดิ์","Thammasat University Research",2020,-,-,-,-
5,"โครงการศึกษาวิเคราะห์ผลการประเมินประสิทธิภาพขององค์กรปกครองส่วนท้องถิ่น (local performance assessment: LPA) ประจำปี พ.ศ. 2562: รายงานผลการศึกษาฉบับสมบูรณ์","ธัชเฉลิม สุทธิพงษ์ประชา, นนท์ธิยา หอมขำ","Thammasat University Research",2020,สถาบันวิจัยและให้คำปรึกษาแห่งมหาวิทยาลัยธรรมศาสตร์,-,-,-
6,"โครงการจ้างที่ปรึกษาเพื่อตรวจสอบและประเมินผลและเผยแพร่ผลงานขององค์กรปกครองส่วนท้องถิ่นที่ได้รับรางวัลการบริหารจัดการที่ดี ประจำปีงบประมาณ 2563: รายงานฉบับสมบูรณ์","อัชกรณ์ วงศ์ปรีดี, ธัชเฉลิม สุทธิพงษ์ประชา","Thammasat University Research",2020,"สถาบันบัณฑิตพัฒนบริหารศาสตร์. ศูนย์บริการวิชาการ",-,-,-
7,"A conversation analytic study of online task-based interaction: a case study of the integration of Microsoft Teams into an English course","Sumita Supakorn, สุมิตา สุภากรณ์","Thammasat University Research",2021,-,-,-,-
8,"คำเรียกสีและการรับรู้สีของผู้พูดภาษาไทใหญ่ในชุมชนบ้านเวียงหวาย ตำบลม่อนปิ่น อำเภอฝาง จังหวัดเชียงใหม่: รายงานการวิจัยฉบับสมบูรณ์","วรรณวนัช อรุณฤกษ์","Thammasat University Research",2021,-,-,-,-
9,"พัฒนาการการใช้พื้นที่ของคุ้มเจ้าบุรีรัตน์ (มหาอินทร์) อำเภอเมือง จังหวัดเชียงใหม่ จากหลักฐานโบราณคดี: รายงานวิจัยฉบับสมบูรณ์","โขมสี มีภักดี","Thammasat University Research",2021,-,-,-,-
10,"ปัจจัยเชิงสาเหตุและผลของความยึดมั่นผูกพันต่อการท่องเที่ยวเชิงสุขภาวะของกลุ่มนักท่องเที่ยวเจเนอเรชั่นวาย: รายงานการวิจัยฉบับสมบูรณ์","ชัยยุทธ ถาวรานุรักษ์","Thammasat University Research",2021,-,-,-,-
